time_s,value
0.018042,-0.514313
0.018063,-0.480540
0.018083,-0.414738
0.018104,-0.333311
0.018125,-0.267027
0.018146,-0.200891
0.018167,-0.187153
0.018188,-0.080908
0.018208,-0.007039
0.018229,0.160801
0.018250,0.256849
0.018271,0.353212
0.018292,0.484811
0.018313,0.595721
0.018333,0.752936
0.018354,0.810227
0.018375,0.935582
0.018396,1.016345
0.018417,1.109192
0.018437,1.155432
0.018458,1.196520
0.018479,1.238173
0.018500,1.217086
0.018521,1.280179
0.018542,1.280312
0.018562,1.358806
0.018583,1.362224
0.018604,1.343581
0.018625,1.333947
0.018646,1.329149
0.018667,1.399880
0.018687,1.384823
0.018708,1.407227
0.018729,1.390370
0.018750,1.437095
0.018771,1.429501
0.018792,1.432609
0.018812,1.465713
0.018833,1.440712
0.018854,1.488204
0.018875,1.454668
0.018896,1.482043
0.018917,1.451535
0.018938,1.423099
0.018958,1.389427
0.018979,1.359775
0.019000,1.402547
0.019021,1.380000
0.019042,1.373207
0.019063,1.294628
0.019083,1.333105
0.019104,1.355323
0.019125,1.391312
0.019146,1.465904
0.019167,1.498513
0.019188,1.604216
0.019208,1.642029
0.019229,1.739908
0.019250,1.788494
0.019271,1.861745
0.019292,1.907261
0.019312,1.931864
0.019333,1.986857
0.019354,1.984127
0.019375,2.015424
0.019396,1.933450
0.019417,1.954973
0.019437,1.980886
0.019458,2.003394
0.019479,2.018467
0.019500,1.983207
0.019521,2.018660
0.019542,2.013083
0.019562,2.079173
0.019583,2.090453
0.019604,2.139639
0.019625,2.147565
0.019646,2.134863
0.019667,2.130845
0.019687,2.063145
0.019708,2.066359
0.019729,1.951391
0.019750,1.883745
0.019771,1.808630
0.019792,1.746180
0.019813,1.651970
0.019833,1.503628
0.019854,1.420359
0.019875,1.315238
0.019896,1.288589
0.019917,1.181564
0.019938,1.114046
0.019958,1.008676
0.019979,0.918681
0.020000,0.874070
0.020021,0.775998
0.020042,0.771423
0.020063,0.692435
0.020083,0.637830
0.020104,0.546873
0.020125,0.507613
0.020146,0.456782
0.020167,0.361771
0.020188,0.308883
0.020208,0.228369
0.020229,0.236249
0.020250,0.145753
0.020271,0.089958
0.020292,-0.002300
0.020312,-0.068404
0.020333,-0.069429
0.020354,-0.123743
0.020375,-0.122227
0.020396,-0.168348
0.020417,-0.159505
0.020437,-0.200981
0.020458,-0.166012
0.020479,-0.115850
0.020500,-0.092247
0.020521,-0.061998
0.020542,-0.099423
0.020562,-0.045497
0.020583,-0.085564
0.020604,-0.101983
0.020625,-0.166326
0.020646,-0.224597
0.020667,-0.241831
0.020688,-0.306387
0.020708,-0.364000
0.020729,-0.490568
0.020750,-0.528681
0.020771,-0.618814
0.020792,-0.646742
0.020813,-0.672413
0.020833,-0.704711
0.020854,-0.723693
0.020875,-0.823695
0.020896,-0.819687
0.020917,-0.864727
0.020938,-0.879109
0.020958,-0.957712
0.020979,-1.044432
0.021000,-1.125835
0.021021,-1.225651
0.021042,-1.307915
0.021063,-1.480878
0.021083,-1.553938
0.021104,-1.665118
0.021125,-1.723596
0.021146,-1.813155
0.021167,-1.907312
0.021187,-1.955418
0.021208,-2.063871
0.021229,-2.078880
0.021250,-2.108653
0.021271,-2.079582
0.021292,-2.117851
0.021312,-2.140352
0.021333,-2.160858
0.021354,-2.165889
0.021375,-2.107710
0.021396,-2.148044
0.021417,-2.121338
0.021437,-2.141032
0.021458,-2.098596
0.021479,-2.097336
0.021500,-2.114947
0.021521,-2.080929
0.021542,-2.078346
0.021562,-2.024485
0.021583,-2.017802
0.021604,-1.945046
0.021625,-1.951909
0.021646,-1.926785
0.021667,-1.897619
0.021688,-1.851692
0.021708,-1.719954
0.021729,-1.672595
0.021750,-1.587812
0.021771,-1.568013
0.021792,-1.469166
0.021813,-1.390240
0.021833,-1.340960
0.021854,-1.292266
0.021875,-1.268642
0.021896,-1.213384
0.021917,-1.251176
0.021938,-1.221871
0.021958,-1.269740
0.021979,-1.282729
0.022000,-1.301496
0.022021,-1.331665
0.022042,-1.299163
0.022062,-1.330788
0.022083,-1.319824
0.022104,-1.371865
0.022125,-1.329055
0.022146,-1.270823
0.022167,-1.202514
0.022187,-1.176538
0.022208,-1.182074
0.022229,-1.120858
0.022250,-1.147961
0.022271,-1.107194
0.022292,-1.135031
0.022312,-1.129717
0.022333,-1.138838
0.022354,-1.167338
0.022375,-1.155976
0.022396,-1.184372
0.022417,-1.148668
0.022437,-1.169737
0.022458,-1.110739
0.022479,-1.056693
0.022500,-0.950389
0.022521,-0.883940
0.022542,-0.865114
0.022563,-0.741111
0.022583,-0.654444
0.022604,-0.495658
0.022625,-0.411318
0.022646,-0.303080
0.022667,-0.219183
0.022688,-0.141487
0.022708,-0.041664
0.022729,0.021524
0.022750,0.144632
0.022771,0.198013
0.022792,0.309845
0.022813,0.360326
0.022833,0.464672
0.022854,0.556998
0.022875,0.579037
0.022896,0.670088
0.022917,0.739590
0.022938,0.877073
0.022958,0.925039
0.022979,0.993166
0.023000,1.039831
0.023021,1.121402
0.023042,1.227478
0.023062,1.290791
0.023083,1.395133
0.023104,1.406352
0.023125,1.478364
0.023146,1.468292
0.023167,1.489965
0.023187,1.524641
0.023208,1.503903
0.023229,1.492779
0.023250,1.439768
0.023271,1.461118
0.023292,1.400858
0.023312,1.367305
0.023333,1.301110
0.023354,1.298809
0.023375,1.333690
0.023396,1.329711
0.023417,1.375109
0.023438,1.337707
0.023458,1.395853
0.023479,1.416225
0.023500,1.460943
0.023521,1.503559
0.023542,1.524275
0.023563,1.530763
0.023583,1.470757
0.023604,1.494060
0.023625,1.464696
0.023646,1.483217
0.023667,1.436240
0.023688,1.436854
0.023708,1.474514
0.023729,1.472715
