time_s,dur_5_ms,dur_25_ms,dur_100_ms,dur_250_ms
0.010521,1.000000,0.421666,0.105417,0.042167
0.010542,1.000000,0.422500,0.105625,0.042250
0.010562,1.000000,0.423333,0.105833,0.042333
0.010583,1.000000,0.424166,0.106042,0.042417
0.010604,1.000000,0.425000,0.106250,0.042500
0.010625,1.000000,0.425833,0.106458,0.042583
0.010646,1.000000,0.426666,0.106667,0.042667
0.010667,1.000000,0.427500,0.106875,0.042750
0.010688,1.000000,0.428333,0.107083,0.042833
0.010708,1.000000,0.429166,0.107292,0.042917
0.010729,1.000000,0.430000,0.107500,0.043000
0.010750,1.000000,0.430833,0.107708,0.043083
0.010771,1.000000,0.431666,0.107917,0.043167
0.010792,1.000000,0.432500,0.108125,0.043250
0.010812,1.000000,0.433333,0.108333,0.043333
0.010833,1.000000,0.434166,0.108542,0.043417
0.010854,1.000000,0.435000,0.108750,0.043500
0.010875,1.000000,0.435833,0.108958,0.043583
0.010896,1.000000,0.436666,0.109167,0.043667
0.010917,1.000000,0.437500,0.109375,0.043750
0.010937,1.000000,0.438333,0.109583,0.043833
0.010958,1.000000,0.439166,0.109792,0.043917
0.010979,1.000000,0.440000,0.110000,0.044000
0.011000,1.000000,0.440833,0.110208,0.044083
0.011021,1.000000,0.441666,0.110417,0.044167
0.011042,1.000000,0.442500,0.110625,0.044250
0.011063,1.000000,0.443333,0.110833,0.044333
0.011083,1.000000,0.444166,0.111042,0.044417
0.011104,1.000000,0.445000,0.111250,0.044500
0.011125,1.000000,0.445833,0.111458,0.044583
0.011146,1.000000,0.446666,0.111667,0.044667
0.011167,1.000000,0.447500,0.111875,0.044750
0.011188,1.000000,0.448333,0.112083,0.044833
0.011208,1.000000,0.449166,0.112292,0.044917
0.011229,1.000000,0.450000,0.112500,0.045000
0.011250,1.000000,0.450833,0.112708,0.045083
0.011271,1.000000,0.451666,0.112917,0.045167
0.011292,1.000000,0.452500,0.113125,0.045250
0.011312,1.000000,0.453333,0.113333,0.045333
0.011333,1.000000,0.454166,0.113542,0.045417
0.011354,1.000000,0.455000,0.113750,0.045500
0.011375,1.000000,0.455833,0.113958,0.045583
0.011396,1.000000,0.456666,0.114167,0.045667
0.011417,1.000000,0.457500,0.114375,0.045750
0.011437,1.000000,0.458333,0.114583,0.045833
0.011458,1.000000,0.459166,0.114792,0.045917
